financial_year,town,room_type,min_selling_price,max_selling_price
2013,Sembawang,4-room,225000,304000
2013,Sembawang,5-room,313000,381000
2013,Sengkang,2-room,76000,124000
2013,Sengkang,3-room,150000,189000
2013,Sengkang,4-room,251000,329000
2013,Sengkang,5-room,358000,425000
2013,Yishun,2-room,75000,118000
2013,Yishun,3-room,150000,234000
2013,Yishun,4-room,252000,320000
2013,Yishun,5-room,316000,393000
2014,Bukit Batok,2-room,80000,142000
2014,Bukit Batok,3-room,160000,211000
2014,Bukit Batok,4-room,259000,344000
2014,Bukit Batok,5-room,350000,457000
2014,Punggol,2-room,82000,139000
2014,Punggol,3-room,166000,212000
2014,Punggol,4-room,278000,341000
2014,Punggol,5-room,334000,429000
2014,Woodlands,2-room,72000,131000
2014,Woodlands,3-room,144000,197000
2014,Woodlands,4-room,229000,312000
2014,Woodlands,5-room,308000,396000
2014,Sembawang,2-room,73000,119000
2014,Sembawang,3-room,148000,185000
2014,Sembawang,4-room,236000,301000
2014,Sengkang,2-room,90000,135000
2014,Sengkang,3-room,164000,208000
2014,Sengkang,4-room,267000,335000
2014,Yishun,2-room,73000,123000
2014,Yishun,3-room,149000,177000
2014,Yishun,4-room,240000,318000
2014,Yishun,5-room,339000,409000
2015,Bukit Batok,2-room,84000,134000
2015,Bukit Batok,3-room,161000,202000
2015,Bukit Batok,4-room,266000,325000
2015,Bukit Batok,5-room,367000,424000
2015,Punggol,2-room,84000,145000
2015,Punggol,3-room,173000,223000
2015,Punggol,4-room,277000,372000
2015,Punggol,5-room,364000,489000
2015,Sembawang,2-room,75000,123000
2015,Sembawang,3-room,152000,188000
2015,Sembawang,4-room,238000,302000
2015,Sengkang,2-room,80000,137000
2015,Sengkang,3-room,159000,202000
2015,Sengkang,4-room,252000,330000
2015,Sengkang,5-room,320000,402000
2016,Bukit Panjang,2-room,73000,139000
2016,Bukit Panjang,3-room,147000,210000
2016,Bukit Panjang,4-room,239000,336000
2016,Bukit Panjang,5-room,315000,410000
2016,Punggol,2-room,80000,140000
2016,Punggol,3-room,163000,210000
2016,Punggol,4-room,257000,365000
2016,Punggol,5-room,329000,498000
2016,Sembawang,2-room,74000,116000
2016,Sembawang,3-room,151000,181000
2016,Sembawang,4-room,235000,300000
2016,Sembawang,5-room,311000,392000
2016,Yishun,2-room,79000,123000
2016,Yishun,3-room,156000,190000
2016,Yishun,4-room,251000,297000
2017,Bukit Batok,2-room,87000,164000
2017,Bukit Batok,3-room,171000,246000
2017,Bukit Batok,4-room,265000,321000
2017,Bukit Batok,5-room,353000,418000
2017,Choa Chu Kang,2-room,89000,139000
2017,Choa Chu Kang,3-room,182000,211000
2017,Choa Chu Kang,4-room,250000,340000
2017,Punggol,4-room,287000,347000
2017,Punggol,5-room,357000,434000
2017,Sengkang,2-room,78000,139000
2017,Sengkang,3-room,159000,215000
2017,Sengkang,4-room,252000,331000
2017,Sengkang,5-room,317000,402000
2017,Woodlands,2-room,71000,129000
2017,Woodlands,3-room,140000,189000
2017,Woodlands,4-room,225000,318000
2017,Woodlands,5-room,279000,401000
2017,Yishun,2-room,77000,113000
2017,Yishun,3-room,157000,177000
2017,Yishun,4-room,251000,291000
2017,Yishun,5-room,331000,378000
2018,Jurong West,2-room,95000,160000
2018,Jurong West,3-room,185000,243000
2018,Jurong West,4-room,257000,364000
2018,Jurong West,5-room,338000,457000
2018,Punggol,2-room,103000,158000
2018,Punggol,3-room,189000,243000
2018,Punggol,4-room,286000,362000
2018,Punggol,5-room,393000,489000
2018,Sembawang,3-room,165000,204000
2018,Sembawang,4-room,251000,304000
2018,Sembawang,5-room,327000,391000
2018,Sengkang,2-room,99000,151000
2018,Sengkang,3-room,187000,242000
2018,Sengkang,4-room,270000,353000
2018,Sengkang,5-room,362000,438000
2018,Tengah,2-room,101000,150000
2018,Tengah,3-room,193000,243000
2018,Tengah,4-room,290000,355000
2018,Tengah,5-room,397000,480000
2018,Yishun,2-room,75000,132000
2018,Yishun,3-room,170000,216000
2018,Yishun,4-room,248000,317000
2018,Yishun,5-room,334000,405000
